iter	RMSE
966	4793.984415
967	4785.8557
968	4780.59335
969	4776.379751
970	4768.224036
971	4764.627702
972	4759.00452
973	4751.886222
974	4746.371502
975	4736.301347
976	4732.334138
977	4726.390265
978	4721.660717
979	4711.55889
980	4705.958007
981	4700.883992
982	4694.92056
983	4691.080111
984	4683.642286
985	4683.32558
986	4679.55839
987	4669.916638
988	4662.797805
989	4657.385739
990	4657.005429
991	4648.752254
992	4641.460016
993	4638.605752
994	4632.778692
995	4624.657571
996	4617.566053
997	4617.211268
998	4613.137308
999	4607.213379
